STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU1452,Oscheius,wild isolate,Isolated from a rotting horse chestnut sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne). Picked as a L2 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,1.2.9
JU1453,Oscheius,wild isolate,Isolated from a rotting horse chestnut sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne). Picked as a L3 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,1.2.11
JU1454,Oscheius,wild isolate,Isolated from a rotting horse chestnut sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne). Picked as an adult on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,1.2.12
JU1455,Oscheius,wild isolate,Isolated from a rotting horse chestnut sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne). Picked as an adult on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,1.2.13
JU1456,Oscheius,wild isolate,Isolated from a rotting horse chestnut sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne). Picked as an adult on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,1.2.14
JU1457,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L1 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.1.1
JU1458,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L4 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.1
JU1459,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as an adult on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.2
JU1460,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as an adult on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.3
JU1461,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L4 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.4
JU1462,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L3 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.5
JU1463,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L1 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.6
JU1464,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L1 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.7
JU1465,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L4 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.8
JU1466,Oscheius tipulae,wild isolate,Isolated from a rotting Helix snail (or material inside the shell) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Picked as a L1 on 27 June - progeny frozen without bleaching nor isolation of individuals for homozygosity.,MAF,6.2.9
JU1467,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a L4 on 27 June.,MAF,9.1.2
JU1468,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a young adult on 27 June.,MAF,9.1.3
JU1469,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a L4 on 27 June.,MAF,9.1.4
JU1470,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a young adult on 27 June.,MAF,9.1.5
JU1471,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a young adult on 27 June.,MAF,9.1.6
JU1472,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a (pale) adult on 27 June.,MAF,9.1.7
JU1473,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as a L4 on 27 June.,MAF,9.1.8
JU1474,Caenorhabditis briggsae,wild isolate,Isolated from rotting wild cherries / leaves (advanced stage) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree. Plated on 26 June (proliferating population) and picked as an adult on 27 June.,MAF,9.3.3
JU1475,Caenorhabditis briggsae,wild isolate,Isolated from dead coleopter (firefly?) sampled by MAF on 26 June 2008 in Gif-sur-Yvette (Essonne) below a wild cherry tree (next to sample #9). Plated on 26 June and picked as a young adult on 27 June.,MAF,10A1
JU1476,Panagrellus sp.,wild isolate,"Isolated by MAF in sorb fruits (resembling small apples) sampled on 13 September 2008 near Saint-Jaume (Lorgues, Var), France. Straight vulva (not anteriorly tilted)",MAF,Var6.1
JU1477,Panagrellus sp.,wild isolate,"Isolated by Marc-Andr_ Lachance from rotting osage orange (Maclura pomifera) on a yeast plate, Ontario, Canada. Kept on yeast plates for 8 months.",Marc-Andr_ Lachance,
JU1478,Caenorhabditis elegans,lin-45(n2018) in CB4856 background,JU1478 is JU945 from which dpy-20(e1282) was removed by out-crossing (recombinants were selected using pyrosequencing to genotype lin-45 and dpy-20 alleles),Fabien Duveau,
JU1481,Caenorhabditis elegans,"let-23(sy1) in near N2 isogenic background. SNP markers on chr.I are AB1, SNPs genotyped on other chr. are all N2","Obtained by crossing NIL18 hermaphrodite x JU605 male and selecting for F2 progenies with homozygous AB1 genotype for UCE1-682, UCE1-1612 and CE1-113 and homozygous N2 genotype for UCE4-659 (done by pyrosequencing)",Fabien Duveau,
JU1482,Caenorhabditis elegans,wild isolate,"Isolated from rotting Tamus communis leaves sampled on 2 August 2008 below Sainte-Barbe, Plougasnou (Finistère). Dense proliferating population at plating on 6 Aug 2008. Adult isolated on 7 Aug.",MAF,P6.1.3
JU1483,Oscheius tipulae,wild isolate,"Isolated from rotting Tamus communis leaves sampled on 2 August 2008 below Sainte-Barbe, Plougasnou (Finistère). Dense proliferating population at plating on 6 Aug 2008. Adult isolated on 7 Aug.",MAF,P6.5.1
JU1484,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L2 larva on 18 Aug.",MAF,B10S1
JU1485,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S2
JU1486,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L2 larva on 18 Aug.",MAF,B10S3
JU1487,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L3 larva on 18 Aug.",MAF,B10S4
JU1488,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S5
JU1489,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as an adult on 18 Aug.",MAF,B10S6
JU1490,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S7
JU1491,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S8
JU1492,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S9
JU1493,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L4 larva on 18 Aug.",MAF,B10S10
JU1494,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L2 larva on 18 Aug.",MAF,B10S11
JU1495,Caenorhabditis elegans,wild isolate,"Isolated from rotting Arum maculata stems sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a L3 larva on 18 Aug.",MAF,B10S12
JU1496,Caenorhabditis briggsae,wild isolate,"Isolated from rotting peach B15 (same tree as JU1497-8) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as a dauer on 18 Aug.",MAF,B15.1
JU1497,Caenorhabditis briggsae,wild isolate,"Isolated from rotting peach B16 (same tree as JU1496-8) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as a dauer on 18 Aug.",MAF,B16.1
JU1498,Caenorhabditis briggsae,wild isolate,"Isolated from rotting peach B17 (same tree as JU1496-7) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as an adult on 18 Aug. VIRUS",MAF,B17.1
JU1499,Caenorhabditis briggsae,wild isolate,"Isolated from rotting apple B18 (same tree as JU1500) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as a dauer on 18 Aug.",MAF,B18.1
JU1500,Caenorhabditis briggsae,wild isolate,"Isolated from rotting apple B19 (same tree as JU1499) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as a postdauer on 18 Aug.",MAF,B19.1
JU1501,Oscheius tipulae,wild isolate,"Isolated from rotting apples P1 sampled on 26 July 2008 below a wild tree (small apples) near Kerarmel, Plou_zocÕh (Finistère, France). Plated 6 August: large proliferating population in bag.",MAF,P1.3.1
JU1502,Oscheius tipulae,wild isolate,"Isolated from rotting Arum maculata fruits sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as an adult on 18 Aug.",MAF,B10F2
JU1503,Oscheius sp. 2,wild isolate,"Isolated from rotting Arum maculata fruits sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as a dauer on 18 Aug.",MAF,B10F3
JU1504,Oscheius tipulae,wild isolate,"Isolated from rotting Arum maculata stems (same as JU1484-95) sampled on 17 Aug 2008 by MAF in woods near Le Blanc (Indre, France). Plated on 18 Aug, picked as an adult on 19 Aug.",MAF,B10S13
JU1505,Oscheius tipulae,wild isolate,"Isolated from rotting peach B17 (same peach as JU1498) sampled on 18 Aug 2008 by MAF in Le Blanc (Indre, France). Plated on 18 Aug, picked as a L1 on 18 Aug.",MAF,B17.12
JU1506,Oscheius tipulae,wild isolate,Isolated from garden soil sampled by Limor Broday in Israel (North) on 23 Aug 2008. Plated 26 August. Bleached.,MAF,I3B2
JU1507,Caenorhabditis elegans,"let-23(sy1) in near N2 isogenic background. SNP markers on chr.I are AB1, SNPs genotyped on other chr. are all N2",Obtained by crossing NIL13 hermaphrodite x JU605 male and selecting for F2 progenies with homozygous AB1 genotype for UCE1-682 and homozygous N2 genotype for UCE2-1482 (done by pyrosequencing),Fabien Duveau,
JU1508,Caenorhabditis elegans,"let-23(sy1) in near N2 isogenic background. SNP markers on chr.I are N2, SNPs genotyped on other chr. are all AB1",Obtained by crossing NIL13 hermaphrodite x JU605 male and selecting for F2 progenies with homozygous N2 genotype for UCE1-682 and homozygous AB1 genotype for UCE2-1482 (done by pyrosequencing),Fabien Duveau,
JU1509,Caenorhabditis briggsae,wild isolate,"Isolated from rotting pear B31 (ca. 10 m from B15-19) sampled on 2 Sep 2008 by Madeleine F_lix in Le Blanc (Indre, France). Plated on 2 Sep, picked as adult on 2 Sep.",M. F_lix and MAF,B31.1
JU1510,Oscheius tipulae,wild isolate,"Isolated from compost sampled on 24 Aug 08 by Masako Asahina in Hluboka nad Vlatavou near Budweis, Czech Republic.",Masako Asahina and MAF,CZ3G1
JU1511,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O11 (tree ÒCalville du RoiÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O11.2.1
JU1512,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O11 (tree ÒCalville du RoiÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 ca. 20:00.",MAF,O11.2.2
JU1513,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O11 (tree ÒCalville du RoiÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",MAF,O11.2.3
JU1514,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O11 (tree ÒCalville du RoiÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",MAF,O11.2.4
JU1515,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O11 (tree ÒCalville du RoiÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",MAF,O11.2.5
JU1516,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",MAF,O13.1.1
JU1517,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult on 10 Sep.",MAF,O13.1.2
JU1518,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O13.2.1
JU1519,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O13.3.1
JU1520,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O13.3.2
JU1521,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O13 (ca. 10 m from O11), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O13.3.4
JU1522,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O14 (tree ÒChailleuxÓ, ca. 6 m from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O14.2.1
JU1523,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O15 (tree ÒChailleuxÓ, 20 cm from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O15.1.1
JU1524,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O15 (tree ÒChailleuxÓ, 20 cm from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L1 ca. 20:00.",MAF,O15.2.2
JU1525,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O15 (tree ÒChailleuxÓ, 20 cm from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as adult ca. 20:00 (dead on 10 Sep).",MAF,O15.3.1
JU1526,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O15 (tree ÒChailleuxÓ, 20 cm from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L2d ca. 20:00.",MAF,O15.3.2
JU1527,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O15 (tree ÒChailleuxÓ, 20 cm from O13), sampled in the Orsay orchard on 9 Sep 2008 ca. 13:00, plated ca. 18:00, picked as L2d ca. 20:00.",MAF,O15.3.3
JU1528,Caenorhabditis virilis,wild isolate,"Reference strain for the species (F_lix, Braendle & Cutter, 2014). Formerly C. sp.13. Isolated from a rotting apple O20 (tree ÒWealthyÓ, like O21), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as Plugged adult on 11 Sep.",MAF,O20.1.1
JU1529,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O20 (tree ÒWealthyÓ, like O21), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O20.2.1
JU1530,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O21.1.1
JU1531,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as young adult ca. 20:00.",MAF,O21.1.2
JU1532,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as L2d ca. 20:00.",MAF,O21.1.3
JU1533,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O21.1.4
JU1534,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O21.2.1
JU1535,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O21 (tree ÒWealthyÓ, like O20), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O21.3.1
JU1536,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.2.1
JU1537,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.2.2
JU1538,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.2.3
JU1539,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.2.4
JU1540,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.3.1
JU1541,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O25 (tree ÒSpartanÓ), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O25.3.2
JU1542,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O27 (tree ÒGrand AlexandreÓ, like O28), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O27.2.1
JU1543,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as dauer ca. 20:00.",MAF,O28.1.1
JU1544,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as dauer ca. 20:00.",MAF,O28.1.2
JU1545,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O28.2.1
JU1547,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as L2d ca. 20:00.",MAF,O28.2.3
JU1548,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca. 14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O28.3.1
JU1549,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O28 (tree ÒGrand AlexandreÓ, like O27), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as dauer ca. 20:00.",MAF,O28.3.2
JU1550,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O30 (tree ÒM5Ó), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O30.1.1
JU1551,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O30 (tree ÒM5Ó), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O30.1.2
JU1552,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O30 (tree ÒM5Ó), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O30.3.1
JU1553,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O30 (tree ÒM5Ó), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O30.3.2
JU1554,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O31 (tree ÒChailleuxÓ 2), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as young adult on 10 Sep.",MAF,O31.3.1
JU1555,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O31 (tree ÒChailleuxÓ 2), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O32.2.1
JU1556,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O32 (tree ÒCalville Rouge dÕHiverÓ H1), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O32.2.2
JU1557,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O32 (tree ÒCalville Rouge dÕHiverÓ H1), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as L4 on 10 Sep.",MAF,O32.2.3
JU1558,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O32 (tree ÒCalville Rouge dÕHiverÓ H1), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as ad on 10 Sep.",MAF,O32.2.5
JU1559,Caenorhabditis elegans,wild isolate,"Isolated from a rotting apple O32 (tree ÒCalville Rouge dÕHiverÓ H1), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O32.3.1
JU1560,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O33 (tree ÒCalville Rouge dÕHiverÓ H1), sampled in the Orsay orchard on 9 Sep 2008 ca.14:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O33.1.1
JU1561,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting apple O36 (tree ÒBelle de BoskoopÓ A1), sampled in the Orsay orchard on 9 Sep 2008 ca.15:00, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O36.1.2
JU1562,Caenorhabditis briggsae,wild isolate,"Isolated from a rotting Petasites hybridus (bog rhubarb) stem, sampled in Orsay on 9 Sep 2008 ca.15:30, plated ca. 18:00, picked as adult ca. 20:00.",MAF,O40.1.1
JU1563,Caenorhabditis elegans,wild isolate,"Isolated from rotting Petasites hybridus (bog rhubarb) stem/leaves, sampled in Orsay on 9 Sep 2008 ca.15:30, plated ca. 18:00, picked as adult on 11 Sep.",MAF,O40.3.2
JU1564,Caenorhabditis briggsae,wild isolate,Sampled by Magali Leroy in August 2008 at Cold Spring Harbor from rotting crab apple.,M. Leroy/MAF,CSH A1
JU1565,Caenorhabditis remanei,wild isolate,Sampled by Magali Leroy in August 2008 at Cold Spring Harbor from rotting crab apple.,M. Leroy/MAF,CSH3
JU1566,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I4) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct.Isolated as an adult on 6 Oct.",MAF,I4.1.1
JU1567,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I4) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct.Isolated as a L2d on 6 Oct.",MAF,I4.1.2
